input,label
leave halsey alone u dumb ass fucking bitch i'll come for ur family you idiotic hoe ,1
@user why r u such a bitch ,1
"@user @user Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal Aliens, Build The Wall! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @user @user ",1
@user Which are the VISA OVERSTAYERS???#DeportThemAll Dumb Ass Bitch declaring they believe in GOD & won't have any part of any misgivings about Muslims! ,1
@user @user Corden them off please. #TravelBanToOtherCities #DeportThemAll #NoSanctuaryCities Illegal is illegal GO HOME ,1
@user SAME SHIT. YOU SKINNY AF BITCH IMA FIGHT YOU HOE DONT MAKE ME LEAK UR NUDES ,1
Learn from Most of #Europe that's been #Invaded by Mostly Muslims! Then look at #Italy #Poland & others who Elected Politicians to #StopImmigration & #DeportIllegals #Sweden & #Germany now trying to Reverse the Huge Mistakes of Unlimited Migration of ppl who Refuse to #Assimilate ,1
you say you breaking bitch? where ya hoe at? ,1
"Bitch u can't insinuate someone else isnt doing anything with their life when u don't know them. 😂 Hoe, you're not… ",1
A LARGE group (100+) of out-of-control African youths have hurled a number of rocks and damaged a police car during a rampage in Melbournes northwest!Thank you @user for importing this rubbish into our country. #auspol #springst #sendthemback ,1
If a bitch talk down on you when your down that hoe don't deserve you when you up ,1
The complacent are in every piece of TRASH on roads & highways. #BuildThatWall no longer complicit. ,1
@user Bitch I was born where everything is done for me so don't try you little poor ass whore. ,1
"@user @user 1) #BuildTheWall, 2) #SecureOurBorders, 3) #EndTheVisaLottery, 4) #EndSanctuaryCities, 5) #EndChainMigration, 6) E-Verify, 7) Reform Asylum Laws, 8) #DeportAllIllegals, 9) #NoAmnesty, & 10) #NoDACA ",1
Bitch shut up u a whore ,1
@user @user @user We are being INVADED!!!! #BuildThatWall BUILD THE WALL and SHUT THE DOOR on our border with Mexico NOW! ,1
@user Send them all back! #NoMoreRefugees ,1
When one of your old hoes dm you saying '' oh your bio is finally clean'' like bitch you disrespectful bye 😒 ,1
@user Thats why you have your other bitch push your issue if it really matter that much to you and you cant just x the hoe ,1
#Midterms #VoteRed2018 Please remember Mollie Tibbets life was taken by an Illegal!! #BuildThatWall Please Retweet! Please Retweet! Please Retweet! @user @user @user @user @user @user @user @user RETWEET! ,1
"#Illegalaliens cited in theft of 39 MILLION #SocialSecurity Numbers-This investigation shines a light on the depth of Americas problems as a result of allowing illegal aliens into the country,- ",1
this whore posts regular ass dumb bitch snaps/instas as if she doesnt have an accent ,1
"@user @user @user @user A law broken is still a law, family or not #sendthemback!! ",1
@user Whatever it takes. Take the money out of welfare payments to the lazy and use that. Take it from aid to Mexico and South and Central America. Just #BuildThatWall . ,1
"@user Yeah, bitch. Because you decided to be a filthy incestuous whore midway through it. ",1
"""""""Identify Native 2020 Census"""" is bollocks. Yes, Mestizos are Indians, and their kind was here first. It doesn't mean shit though, as the Europeans built a far more advanced civilization than the Indians ever could dream of. #BuildTheWall #DeportThemAll #KAG #SupportICE"" ",1
I'm really trying not put yal fake ass spiritual ass hoes out but bitch you pushing it ,1
Tia Blue a Baltimore City DSS administrator is a whore and a bitch. ,1
"""@GOP Great tweet. Now get rid of RINOs Paul Ryan, Mitch McConnell and Lindsey Grahamnesty, REPEAL Obamacare and DEPORT Illegal Immigrants, INCLUDING so-called """"Dreamers."""" #NoDACA"" ",1
"I feel like the world mine on some scarface shit, if that your hoe on Instagram then don't tag that bitch ",1
@user And this is exactly how it should be in England!! Crime is low in Slovakia etc but all the scumbags come to to commit crimes as they know they can get away with it - THEY NEVER RETURN!!! #stopimmigration ,1
I THINK ILL HAVE A RAP BITCH FOR MY ENTREE CAUSE THEY BE THINKING NIGGAS SPIT SPIT SHINE MY SHOES YOU KNOW I KEEPS… ,1
@user You know what? FUCK MUSLIM STUDENTS!!!! #SendThemBack #IHateShariaLaw ,1
lulu:why soraka got her shoes on in the pool  soraka:those are my hooves you bitch ,1
@user Its time to give hunting licenses to border homes and make it year round open season on this invading force! Free guns and ammo to those willing to defend our borders!!! #BuildThatWall #BuildThatDamnWallNow ,1
"@user 😂😂😂 good one bitch.  I still fuck badder hoes than you , habesha bitches 🤔🤔.  Your irrelevant , bitch I kno… ",1
"You won't catch me on this hoe arguing with a bitch lol , bitches are not worth my time .. ",1
@user @user They should be deported the moment they are caught. #AmericaFirst #BuildTheWall #DeportThemAll #NoBenefitsForIllegals #NoFundingForSanctuaryCities #VetsFirst #Chicago #StopAsylumAbuse #DeportThemAll #WWG1WGA #WeAreQ #QArmy #qanon #ApologyTourIsOver ,1
@user #IllegalAliens are Lawbreakers! #sendthemhome ,1
"@user If deficits matter, @user then #StopImmigration. @user immigrants are fiscal debtors x *three gens*.If deficits matter, Stuart, #SendThemBack & #BuildTheWall. @user scores DACA x 10 yrs costing $26 bil.Cant stop immig? OK, then. STFU on deficits. ",1
i despise that bitch cunt... ,1
I dont want your bitch nigga. If i did her bags and her shoes and jewelery would get better. ,1
& mines better bitch! You playing with me on twitter like you wasn't fucking the friend. Shady ass hoe. ,1
Nigga they don’t like yo hoe ass no more so they unfollowed you. Ain’t no glitch bitch lmaoooooo ,1
ENOUGH w/PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be racist#POTUS #KAG #MAGA #NEWS #Trump #Walkaway #VoteRed #BuildTheWall #NoDACA #NRA ,1
Please donate to stop the Illegal Invaders and help #BuildThatWall@realDonaldTrump #MAGA#WWG1WGA ,1
